Date,size,count
2020-07-01,1043155880,544166
2020-07-02,967824644,479749
2020-07-03,1080305308,512630
2020-07-04,642779180,212988
2020-07-05,486549793,110118
2020-07-06,991379772,478871
2020-07-07,744359918,477961
2020-07-08,672259724,509751
2020-07-09,1030357765,470681
2020-07-10,673797104,456556
2020-07-11,323948783,209502
2020-07-12,184538154,119537
2020-07-13,636123690,462580
2020-07-14,696531162,501704
2020-07-15,798799151,505769
2020-07-16,1015567053,511321
2020-07-17,799360071,463347
2020-07-18,335801277,215123
2020-07-19,178534904,124713
2020-07-20,1273538574,477326
2020-07-21,766009058,510240
2020-07-22,843155474,496680
2020-07-23,769715389,511837
2020-07-24,412199315,285557
2020-07-25,91795444,95691
2020-07-26,44636188,49477
2020-07-27,159099867,200704
2020-07-28,255572763,312287
2020-07-29,166783637,228332
2020-07-30,60092333,159810
2020-07-31,47356338,168629
2020-08-01,52462141,112305
2020-08-02,16074897,60933
2020-08-03,531947973,418254
2020-08-04,788974373,548104
2020-08-05,1098084309,801598
2020-08-06,984432155,544550
2020-08-07,756619580,500566
2020-08-08,325813215,254223
2020-08-09,199749800,160625
2020-08-10,1024951136,548641
2020-08-11,731526259,574654
2020-08-12,986767204,584534
2020-08-13,1140926740,605481
2020-08-14,794308019,527408
2020-08-15,367173156,272314
2020-08-16,177068160,136072
2020-08-17,860065037,573127
2020-08-18,767008178,569357
2020-08-19,860834262,574130
2020-08-20,837309309,581247
2020-08-21,1295843857,774546
2020-08-22,375205515,284132
2020-08-23,163561842,140857
2020-08-24,786889258,586246
2020-08-25,739611181,638405
2020-08-26,885485922,571878
2020-08-27,743849894,569313
2020-08-28,772524845,565870
2020-08-29,348321248,264030
2020-08-30,177560205,157362
2020-08-31,872415125,610108
2020-09-01,728123091,644971
2020-09-02,985424698,600515
2020-09-03,817576798,604936
2020-09-04,807171102,609996
2020-09-05,494484252,624257
2020-09-06,745541741,1605601
2020-09-07,751391319,620076
2020-09-08,1008817306,1287353
2020-09-09,1381083086,1866032
2020-09-10,1319851077,1916311
2020-09-11,1439550392,2334540
2020-09-12,977287032,1724150
2020-09-13,195232431,218184
2020-09-14,916991045,689976
2020-09-15,1037786320,709814
2020-09-16,901215189,655658
2020-09-17,785935731,646165
2020-09-18,843240712,660392
2020-09-19,444688368,331285
2020-09-20,220977391,187873
2020-09-21,924714950,669996
2020-09-22,961937165,653471
2020-09-23,1034560331,651624
2020-09-24,833750397,626499
2020-09-25,995552311,627275
2020-09-26,469894956,336019
2020-09-27,262152870,191805
2020-09-28,1047089940,719303
2020-09-29,870157448,676814
2020-09-30,1125395514,695406
2020-10-01,1849941894,700948
2020-10-02,1538783308,720112
2020-10-03,673749827,591715
2020-10-04,313698310,182889
2020-10-05,946902895,673129
2020-10-06,895640517,685107
2020-10-07,938625773,666804
2020-10-08,898695426,684187
2020-10-09,874101489,635146
2020-10-10,437096596,322016
2020-10-11,246282116,190161
2020-10-12,1021944151,700490
2020-10-13,841032218,761889
2020-10-14,1121521880,771097
2020-10-15,800187071,661329
2020-10-16,793925152,669298
2020-10-17,428479092,343183
2020-10-18,245107069,191618
2020-10-19,892340367,718211
2020-10-20,887663090,664034
2020-10-21,894545341,665826
2020-10-22,848970932,642038
2020-10-23,876519630,589332
2020-10-24,479196240,312257
2020-10-25,231288958,158333
2020-10-26,1039930219,644261
2020-10-27,906794996,629596
2020-10-28,1130803823,633972
2020-10-29,925530144,632398
2020-10-30,876241838,629174
2020-10-31,465593620,292231
2020-11-01,276096324,198157
2020-11-02,941912304,648738
2020-11-03,1215425068,627399
2020-11-04,618181912,436275
2020-11-05,850773544,594741
2020-11-06,821233675,581702
2020-11-07,435819429,276776
2020-11-08,206511319,141001
2020-11-09,862981556,623205
2020-11-10,836343857,601702
2020-11-11,930933817,629839
2020-11-12,795077664,608064
2020-11-13,836048545,573811
2020-11-14,434500542,282373
2020-11-15,237490975,173213
2020-11-16,890991163,675108
2020-11-17,930449335,637646
2020-11-18,972859992,621988
2020-11-19,860337601,601219
2020-11-20,830614072,571265
2020-11-21,484013954,300630
2020-11-22,302755370,173188
2020-11-23,961606495,675715
2020-11-24,949762734,637226
2020-11-25,988346711,619081
2020-11-26,891171272,599250
2020-11-27,882529082,594062
2020-11-28,531375036,296879
2020-11-29,304722508,175909
2020-11-30,1034710265,675658
2020-12-01,932512142,662921
2020-12-02,1321099362,692440
2020-12-03,815510854,566515
2020-12-04,996256789,859557
2020-12-05,472835498,357680
2020-12-06,203079134,139982
2020-12-07,828150554,583707
2020-12-08,846670571,579236
2020-12-09,975835518,579887
2020-12-10,849107036,583181
2020-12-11,1004146232,623811
2020-12-12,766263598,301028
2020-12-13,703192361,188923
2020-12-14,1353618402,656493
2020-12-15,1435340047,699046
2020-12-16,1683309617,715787
2020-12-17,1516399029,625184
2020-12-18,1027728072,564291
2020-12-19,360055226,256240
2020-12-20,178037044,134406
2020-12-21,808732527,594703
2020-12-22,765745402,569506
2020-12-23,833501598,594238
2020-12-24,739257965,563335
2020-12-25,776013447,560582
2020-12-26,381118346,254893
2020-12-27,204883144,139254
2020-12-28,852730085,593415
2020-12-29,1003956714,639518
2020-12-30,1047575886,742090
2020-12-31,756830694,494919
2021-01-01,516981233,304653
2021-01-02,518729215,314236
2021-01-03,689702688,438492
2021-01-04,783718896,561603
2021-01-05,1068800041,588295
2021-01-06,818279400,365136
2021-01-07,60836594,50337
2021-01-08,322085006,282621
2021-01-09,202823358,194541
2021-01-10,133498864,110824
2021-01-11,949074860,587365
2021-01-12,806128308,549621
2021-01-13,1008737188,675240
2021-01-14,945404070,630190
2021-01-15,897919310,621618
2021-01-16,464808108,309914
2021-01-17,164218458,101613
